kernel_id,tier,category,sub_category,function,value
fvm-execution-engine,irreplaceable,Blockchain Core & Physical Storage,VM & Programmability,FVM execution engine (deterministic WASM actor execution),Shared execution engine that produces gas spent; a divergence here forks execution across all clients. Co-maintained by Lotus and Forest.
builtin-actor-suite,irreplaceable,Blockchain Core & Physical Storage,VM & Programmability,Storage market / miner / power / system / reward / datacap actors,"Storage market, miner, power and reward logic at protocol level. FIPs may propose modifications. Co-maintained by Lotus and Forest."
proving-subsystem,irreplaceable,Blockchain Core & Physical Storage,Proving,"Proving subsystem - PoRep (StackedDRG sealing), WinningPoSt/WindowPoSt, crypto primitives (BLST, bellperson, neptune)",Storage proofs make physical storage trustless and gate block production and sector onboarding; a regression halts proving network-wide.
p2p-networking-stack,irreplaceable,Blockchain Core & Physical Storage,Networking,"GossipSub propagation, Kademlia DHT peer/content discovery, transports (TCP/QUIC) + NAT traversal","Blocks must propagate within ~30s; precondition for propagation, discovery and every connection - failure threatens consensus."
distributed-randomness-beacon,irreplaceable,Blockchain Core & Physical Storage,Randomness,"Distributed randomness beacon (threshold-BLS, League of Entropy)","If the beacon stops, the chain halts instantly and (without months of R&D) irrecoverably. Governance and on-call support required."
consensus-validation-client,essential,Blockchain Core & Physical Storage,Ledger & Consensus,"Consensus/validation client: fork-choice, state validation, message pool",Most widely-deployed full node with broadest feature coverage; the client most of the network currently runs.
chain-sync-state,essential,Blockchain Core & Physical Storage,Ledger & Consensus,"Chain sync & state management (snapshot bootstrap, heaviest-chain, RPC)","A correct, fast sync path keeps nodes in consensus rather than forking. Read/write surface used by miners, wallets, explorers, RPC providers and FEVM dApps."
forest-full-node,essential,Blockchain Core & Physical Storage,Ledger & Consensus,"Independent Rust full node (sync, validation, RPC, snapshot export)","Second production client bounds the blast radius of a Lotus bug - client diversity is a security property; ~30% lighter footprint, efficient snapshots, more performant Eth RPC."
block-production,essential,Blockchain Core & Physical Storage,Block Production (mining),Block production - WinningPoSt leader election & block assembly,Without miners running WinningPoSt there is no block production; the chain stops advancing. Majority of block producers run this (70%+).
sealing-pipeline,essential,Blockchain Core & Physical Storage,Block Production (mining),"Sealing pipeline (PC1/PC2/Commit, SupraSeal, Snap)",How SPs onboard committed capacity and data onto the network.
