team,function_id,metric,kernel_id,state,origin,grant_ref,oso_project_slug,karma_project_id,karma_project_slug,source_host,repos,cadence,sla_statement
ankr,chain-sync-rpc-calibnet-head-lag,rpc_calibnet_head_lag_epochs,chain-sync-state,adopted,oso,APP-ICVR43KL-H0P3K6,ankr-network,0xc9525e787e544413e77ec135758b035ffdac4c391fcbf6ed3b1dfbe13791ff24,ankr---filecoin-public-endpoint-infrastructure,rpc.ankr.com,,daily,"Public calibnet RPC chain-head lag: wall-clock expected epoch minus reported Height, measured daily"
ankr,chain-sync-rpc-fevm-eth-head-lag,fevm_eth_head_lag_epochs,chain-sync-state,adopted,oso,APP-ICVR43KL-H0P3K6,ankr-network,0xc9525e787e544413e77ec135758b035ffdac4c391fcbf6ed3b1dfbe13791ff24,ankr---filecoin-public-endpoint-infrastructure,rpc.ankr.com,,daily,"FEVM/Eth RPC surface keeps pace: wall-clock expected epoch minus decoded eth_blockNumber <= 4 epochs, measured daily — the eth_* API is what FEVM dApps depend on, runs ~1 epoch below the native head by construction (so 4 = native 3 + 1), and can stall independently of the native API"
ankr,chain-sync-rpc-mainnet-head-lag,rpc_head_lag_epochs,chain-sync-state,adopted,oso,APP-ICVR43KL-H0P3K6,ankr-network,0xc9525e787e544413e77ec135758b035ffdac4c391fcbf6ed3b1dfbe13791ff24,ankr---filecoin-public-endpoint-infrastructure,rpc.ankr.com,,daily,"Public mainnet RPC serves a fresh chain head: wall-clock expected epoch minus reported Height <= 5 epochs (150s), measured daily — a stale head means the endpoint's backing node has stopped syncing"
blockscout,calibnet-explorer-blockscout,blockscout_calibnet_head_age_seconds,calibnet-explorer,adopted,oso,APP-J8CF3XJY-CG03HL,blockscout,0x508d9befc51c2582bb6f347991e4df3fbfb346dde02fce47d7c058f21ea8cb15,blockscout-block-explorer,filecoin-testnet.blockscout.com,,daily,"Blockscout Calibration testnet explorer indexing lag: age of the newest indexed block, measured daily — upgrade rehearsal needs a working explorer to analyse"
blockscout,fevm-mainnet-explorer-blockscout,blockscout_mainnet_head_age_seconds,mainnet-explorer,adopted,oso,APP-J8CF3XJY-CG03HL,blockscout,0x508d9befc51c2582bb6f347991e4df3fbfb346dde02fce47d7c058f21ea8cb15,blockscout-block-explorer,filecoin.blockscout.com,,daily,"Blockscout Filecoin mainnet explorer indexing lag: age of the newest indexed block, measured daily — a stale explorer is not an observability surface"
blockscout,mainnet-block-explorer,explorer_max_tipset_gap_seconds,mainnet-explorer,adopted,oso,,unfunded,,,filfox.info,,daily,"Explorer pace against the chain: the largest gap between consecutive indexed tipsets, measured daily"
chain-love,chain-sync-rpc-calibnet-head-lag,rpc_calibnet_head_lag_epochs,chain-sync-state,adopted,oso,APP-P706QNLF-NLQPG5,chain-love,0xc2eda7715129182fa651b7c5900e73c2b9dea5c5ef8c13cfdf864220c985f732,chainlove,calibration.filecoin.chain.love,,daily,"Public calibnet RPC chain-head lag: wall-clock expected epoch minus reported Height, measured daily — calibnet is the upgrade-rehearsal target developers stage against"
chain-love,chain-sync-rpc-fevm-eth-head-lag,fevm_eth_head_lag_epochs,chain-sync-state,adopted,oso,APP-P706QNLF-NLQPG5,chain-love,0xc2eda7715129182fa651b7c5900e73c2b9dea5c5ef8c13cfdf864220c985f732,chainlove,filecoin.chain.love,,daily,"FEVM/Eth RPC chain-head lag: wall-clock expected epoch minus decoded eth_blockNumber, measured daily — the eth_* API is what FEVM dApps depend on and can stall independently of the native API"
chain-love,chain-sync-rpc-mainnet-head-lag,rpc_head_lag_epochs,chain-sync-state,adopted,oso,APP-P706QNLF-NLQPG5,chain-love,0xc2eda7715129182fa651b7c5900e73c2b9dea5c5ef8c13cfdf864220c985f732,chainlove,filecoin.chain.love,,daily,"Public mainnet RPC chain-head lag: wall-clock expected epoch minus reported Height, measured daily — a stale head means the endpoint's backing node has stopped syncing"
chain-love,rpc-endpoint-uptime,rpc_endpoint_uptime_pct,chain-sync-state,adopted,karma,APP-P706QNLF-NLQPG5,chain-love,0xc2eda7715129182fa651b7c5900e73c2b9dea5c5ef8c13cfdf864220c985f732,chainlove,uptimerobot.filecoin.chain.love,,daily,"Chain.Love's own uptime monitor for the funded endpoint reports availability over the trailing window, measured daily — the operator-reported view of the service the grant funds"
